RespondentID,theta_hat,se_theta
R1,-0.8302,0.3355
R2,-0.1562,0.3312
R3,-1.5523,0.3551
R4,1.1011,0.36
R5,0.2054,0.333
R6,-0.4465,0.3318
R7,-0.317,0.3313
R8,0.2132,0.333
R9,-0.7323,0.3342
R10,-0.6116,0.333
R11,0.4636,0.3365
R12,0.6064,0.3396
R13,-0.0971,0.3313
R14,-0.2057,0.3312
R15,0.4847,0.3369
R16,-0.6857,0.3337
R17,-0.4152,0.3317
R18,0.2826,0.3338
R19,0.5969,0.3393
R20,-1.3412,0.3468
R21,-1.0022,0.3383
R22,0.2892,0.3338
R23,-0.1291,0.3312
R24,-0.5091,0.3322
R25,0.3718,0.3349
R26,1.7473,0.4147
R27,-1.5729,0.3561
R28,1.8976,0.4318
R29,-1.2441,0.3438
R30,0.291,0.3339
R31,-0.5681,0.3326
R32,1.191,0.3657
R33,0.6462,0.3406
R34,1.0377,0.3564
R35,-0.1443,0.3312
R36,0.5344,0.3379
R37,-0.6567,0.3334
R38,-0.15,0.3312
R39,0.6726,0.3414
R40,1.2436,0.3693
R41,0.6572,0.3409
R42,-0.1809,0.3312
R43,-0.8496,0.3357
R44,1.3939,0.3808
R45,0.7526,0.3439
R46,0.6961,0.3421
R47,1.9233,0.4348
R48,-0.3714,0.3315
R49,1.3773,0.3795
R50,2.0665,0.4524
R51,1.6623,0.4057
R52,0.7672,0.3444
R53,-0.6442,0.3333
R54,0.4962,0.3371
R55,-0.562,0.3326
R56,-0.0601,0.3314
R57,0.2766,0.3337
R58,-0.1606,0.3312
R59,0.5984,0.3394
R60,-0.6854,0.3337
R61,-0.3613,0.3315
R62,-1.1479,0.3414
R63,-1.0237,0.3387
R64,-1.1861,0.3423
R65,-0.668,0.3335
R66,1.3847,0.3801
R67,-0.2045,0.3312
R68,0.0355,0.3318
R69,-0.6529,0.3334
R70,0.3372,0.3344
R71,-1.1504,0.3414
R72,-0.4107,0.3317
R73,2.0339,0.4483
R74,-0.8193,0.3353
R75,0.8999,0.3496
R76,0.3409,0.3345
R77,-0.3335,0.3314
R78,-0.5249,0.3323
R79,1.062,0.3578
R80,0.2402,0.3333
R81,1.3069,0.3739
R82,-0.7926,0.335
R83,-0.1354,0.3312
R84,0.3549,0.3347
R85,-0.0988,0.3313
R86,-0.7658,0.3346
R87,-0.9832,0.3379
R88,-0.3255,0.3314
R89,-0.5813,0.3327
R90,0.5554,0.3383
R91,0.735,0.3433
R92,-1.1713,0.3419
R93,-1.5796,0.3565
R94,-1.2802,0.3449
R95,0.0525,0.3318
R96,1.3675,0.3787
R97,-0.0982,0.3313
R98,0.2242,0.3331
R99,-0.6363,0.3332
R100,-1.2002,0.3427
R101,-1.6147,0.3582
R102,-0.3307,0.3314
R103,0.8272,0.3466
R104,-0.5236,0.3323
R105,1.7209,0.4119
R106,-0.0382,0.3315
R107,-0.4057,0.3316
R108,0.4614,0.3364
R109,0.0737,0.332
R110,0.959,0.3524
R111,-0.3015,0.3313
R112,-2.1822,0.4056
R113,-0.2299,0.3312
R114,-0.0847,0.3313
R115,0.0502,0.3318
R116,1.7264,0.4125
R117,-1.5012,0.3528
R118,0.7291,0.3431
R119,0.2053,0.333
R120,0.0318,0.3317
R121,0.931,0.3511
R122,-0.7109,0.334
R123,-0.7051,0.3339
R124,1.2602,0.3705
R125,0.3122,0.3341
R126,0.7718,0.3446
R127,0.5666,0.3386
R128,1.6793,0.4075
R129,-0.3687,0.3315
R130,-0.916,0.3368
R131,-2.343,0.4256
R132,-1.2699,0.3446
R133,1.0571,0.3575
R134,-1.2768,0.3448
R135,-0.8739,0.3361
R136,1.7852,0.4189
R137,0.9777,0.3533
R138,1.3223,0.3751
R139,-0.9752,0.3378
R140,-2.5124,0.448
R141,1.5899,0.3985
R142,-1.431,0.35
R143,-0.1801,0.3312
R144,-0.0349,0.3315
R145,-1.2765,0.3448
R146,1.5376,0.3935
R147,1.3041,0.3737
R148,0.5701,0.3387
R149,-0.006,0.3316
R150,0.2197,0.3331
R151,-0.8849,0.3363
R152,0.4096,0.3355
R153,-0.1617,0.3312
R154,-0.6643,0.3335
