ItemID,Difficulty,Category,p_value,sd,CITC,alpha_if_deleted,flag,p_low_third,p_mid_third,p_high_third,monotone_in_theta,D_index
Q1,Easy,rules,0.924,0.2653,0.312,0.8657,ok,0.808,0.97,0.994,True,0.186
Q2,Easy,rules,0.932,0.252,0.3498,0.8652,ok,0.814,0.982,1.0,True,0.186
Q3,Easy,history,0.916,0.2777,0.3002,0.8658,ok,0.778,0.982,0.988,True,0.21
Q4,Easy,basics,0.812,0.3911,0.2627,0.8667,ok,0.677,0.825,0.934,True,0.257
Q5,Easy,history,0.8,0.4004,0.3407,0.8649,ok,0.605,0.855,0.94,True,0.335
Q6,Easy,players,0.842,0.3651,0.3813,0.864,ok,0.653,0.898,0.976,True,0.323
Q7,Easy,rules,0.8,0.4004,0.4422,0.8625,ok,0.533,0.892,0.976,True,0.443
Q8,Easy,format,0.672,0.47,0.39,0.8638,ok,0.413,0.729,0.874,True,0.461
Q9,Easy,history,0.726,0.4465,0.5017,0.8608,ok,0.407,0.795,0.976,True,0.569
Q10,Easy,basics,0.694,0.4613,0.3448,0.865,ok,0.485,0.687,0.91,True,0.425
Q11,Medium,history,0.586,0.493,0.5371,0.8596,ok,0.251,0.59,0.916,True,0.665
Q12,Medium,history,0.564,0.4964,0.482,0.8612,ok,0.251,0.59,0.85,True,0.599
Q13,Medium,records,0.554,0.4976,0.5142,0.8602,ok,0.24,0.584,0.838,True,0.599
Q14,Medium,history,0.534,0.4993,0.3905,0.8639,ok,0.293,0.524,0.784,True,0.491
Q15,Medium,history,0.502,0.5005,0.3981,0.8637,ok,0.246,0.53,0.731,True,0.485
Q16,Medium,players,0.484,0.5002,0.4434,0.8623,ok,0.234,0.458,0.76,True,0.527
Q17,Medium,history,0.426,0.495,0.4038,0.8635,ok,0.204,0.404,0.671,True,0.467
Q18,Medium,history,0.42,0.4941,0.5242,0.86,ok,0.102,0.392,0.766,True,0.665
Q19,Medium,history,0.418,0.4937,0.3942,0.8637,ok,0.204,0.386,0.665,True,0.461
Q20,Medium,history,0.414,0.493,0.3688,0.8645,ok,0.24,0.361,0.641,True,0.401
Q21,Hard,history,0.368,0.4827,0.3903,0.8638,ok,0.174,0.325,0.605,True,0.431
Q22,Hard,records,0.25,0.4334,0.5478,0.8597,ok,0.048,0.139,0.563,True,0.515
Q23,Hard,players,0.278,0.4485,0.3176,0.8656,ok,0.12,0.247,0.467,True,0.347
Q24,Hard,records,0.238,0.4263,0.4074,0.8633,ok,0.066,0.163,0.485,True,0.419
Q25,Hard,records,0.242,0.4287,0.4088,0.8633,ok,0.054,0.235,0.437,True,0.383
Q26,Hard,history,0.16,0.367,0.4256,0.8631,ok,0.024,0.06,0.395,True,0.371
Q27,Hard,history,0.196,0.3974,0.3631,0.8644,ok,0.036,0.193,0.359,True,0.323
Q28,Hard,history,0.248,0.4323,0.3022,0.866,ok,0.114,0.229,0.401,True,0.287
Q29,Hard,records,0.134,0.341,0.3185,0.8654,ok,0.03,0.078,0.293,True,0.263
Q30,Hard,format,0.13,0.3366,0.2287,0.8671,ok,0.048,0.114,0.228,True,0.18
